0,1,2,3,4,5,6,7,8,9,10,11,12
-0.5126908,-0.5903202,-0.58138573,-0.2645502,0.27870122,-0.27870122,-0.39212215,-0.27920943,-0.26343787,-0.43813157,-0.328754,-0.32875335,-0.58939916
-0.50830096,-0.5519851,-0.5430135,-0.2645502,0.27870122,-0.27870122,-0.45858783,-0.46409282,-0.27716893,-0.44511282,-0.3278781,-0.32787856,-0.5537994
-0.51580805,-0.6142796,-0.6053683,-0.2645502,0.27870122,-0.27870122,-0.45299068,-0.35639012,-0.2682672,-0.44512418,-0.32962993,-0.3296299,-0.6140679
-0.5157847,-0.6142796,-0.6053683,-0.2645502,0.1945892,-0.1945892,-0.44001174,-0.22744516,-0.26216722,-0.4451335,-0.32920194,-0.3292021,-0.6138169
-0.5113832,-0.5807364,-0.57179266,-0.2645502,0.27870122,-0.27870122,-0.48656735,-0.48224223,-0.3944149,-0.44756243,-0.32496202,-0.3249627,-0.5810013
-0.5127608,-0.5903202,-0.58138573,-0.2645502,0.27870122,-0.27870122,-0.48789042,-0.48231456,-0.39444882,-0.448058,-0.3287673,-0.32876796,-0.5906771
-0.47369596,-0.27405548,-0.26481503,-0.2645502,0.27870122,-0.27870122,-0.47085595,-0.47544977,-0.3062568,-0.4454461,-0.3072684,-0.30726874,-0.27374822
-0.44790566,-0.068004236,-0.05856443,-0.2645502,0.27870122,-0.27870122,0.5762987,-0.24312276,-0.25550187,2.057269,-0.3145818,-0.31458122,-0.066722125
-0.51579636,-0.6142796,-0.6053683,-0.2645502,0.1945892,-0.1945892,1.0667073,2.1755314,1.0249674,-0.16476193,-0.3269711,-0.3269704,-0.6138169
-0.289031,1.2162222,1.2269044,-0.2645502,0.27870122,-0.27870122,-0.4474299,-0.46473193,-0.2730734,-0.41580892,-0.24545266,-0.24545284,1.2151419
-0.14942022,2.3279405,2.3396983,-0.2645502,0.27870122,-0.27870122,-0.4787104,-0.48083615,-0.39375597,-0.44445646,-0.027820252,-0.027820172,2.328957
-0.4621493,-0.1830096,-0.17368104,-0.2645502,0.27870122,-0.27870122,-0.26513356,-0.11005163,-0.24633935,-0.3031907,-0.30759215,-0.30759183,-0.18264943
-0.50185627,-0.4992743,-0.49025172,-0.2645502,0.27870122,-0.27870122,-0.48584425,-0.48160693,-0.39411718,-0.44714785,-0.32654756,-0.32654673,-0.50163215
-0.43899757,0.0038741059,-0.101733156,2.9708273,-3.7886188,3.7886188,2.110415,2.050201,1.1754754,2.5074284,2.9111063,2.9111059,0.003062471
-0.46207923,-0.1830096,-0.17368104,-0.2645502,0.27870122,-0.27870122,-0.4855605,-0.48174083,-0.39417994,-0.44695064,-0.023857534,-0.023857981,-0.18228431
