0,1,2,3,4,5,6,7,8,9,10,11,12
-0.49090505,-0.5903202,-0.58138573,-0.2645502,0.27870122,-0.27870122,-0.38356,-0.31588602,-0.26633087,-0.44512427,-0.32870078,-0.32870016,-0.5888058
-0.47140762,-0.5519851,-0.5430135,-0.2645502,0.27870122,-0.27870122,-0.45349264,-0.45840037,-0.27322072,-0.445184,-0.327867,-0.32786766,-0.5530235
-0.50495017,-0.6142796,-0.6053683,-0.2645502,0.27870122,-0.27870122,-0.45485872,-0.37442806,-0.27014366,-0.44526687,-0.3296388,-0.32963905,-0.6135887
-0.50488013,-0.6142796,-0.6053683,-0.2645502,0.27870122,-0.27870122,-0.44057712,-0.23509002,-0.26283136,-0.44517553,-0.32915315,-0.32915244,-0.6135887
-0.48552284,-0.5807364,-0.57179266,-0.2645502,0.27870122,-0.27870122,-0.48829216,-0.4825034,-0.39453733,-0.44872424,-0.32486668,-0.32486692,-0.57917565
-0.49122027,-0.5855283,-0.57658917,-0.2645502,0.27870122,-0.27870122,-0.48654285,-0.4821588,-0.39437583,-0.44757894,-0.32874957,-0.32875034,-0.5877561
-0.3025741,-0.22853254,-0.21924803,-0.2645502,0.27870122,-0.27870122,-0.47033817,-0.47480658,-0.30183604,-0.44523942,-0.30439782,-0.30439806,-0.22819884
-0.17986886,0.008665996,0.01817998,-0.2645502,0.27870122,-0.27870122,0.34252685,-0.2750111,-0.2586639,1.7108196,-0.3126193,-0.3126204,0.0075352574
-0.5048918,-0.6142796,-0.6053683,-0.2645502,0.27870122,-0.27870122,1.1501298,2.3319697,1.0577227,-0.17932695,-0.32688683,-0.3268873,-0.6132692
0.5838574,1.4318572,1.4427481,-0.2645502,0.27870122,-0.27870122,-0.44669822,-0.46113423,-0.2709651,-0.4273636,-0.2363874,-0.23638749,1.4321634
1.2357713,2.6633728,2.675455,-0.2645502,0.27870122,-0.27870122,-0.48143977,-0.4812568,-0.3939531,-0.44569847,0.007726683,0.007727293,2.6652374
-0.24920724,-0.13029881,-0.12091926,-0.2645502,0.27870122,-0.27870122,-0.29199773,-0.114640616,-0.24848998,-0.33710375,-0.3053458,-0.30534548,-0.13084728
-0.43784174,-0.48489863,-0.47586215,-0.2645502,0.27870122,-0.27870122,-0.48728248,-0.48215136,-0.39437234,-0.44779104,-0.32620606,-0.32620552,-0.4872553
-0.13921618,0.08533623,-0.039378326,3.3752496,-3.7768972,3.7768972,1.9052255,2.179949,1.1761209,2.2959862,3.3019054,3.3019047,0.0836639
-0.24920724,-0.13029881,-0.12091926,-0.2645502,0.27870122,-0.27870122,-0.48518175,-0.4815489,-0.39409,-0.44686806,0.009245688,0.009245453,-0.13034523
