0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.53640854,-0.6066494,-0.7020256,-0.6774874,-0.602115,-0.5886663,-0.039595857,0.0,-0.039595857,-0.041694004
-0.15358855,0.24510643,-0.63696593,0.53685015,-0.47475794,-0.17521606,-0.039595857,0.0,-0.039595857,-0.041694004
-0.6079793,-0.60941964,-0.71233493,-0.02626353,-0.62584054,-0.55787164,-0.039595857,0.0,-0.039595857,-0.041694004
0.6798005,0.26862732,-0.837598,0.580812,-0.28385025,0.24392825,-0.039595857,0.0,-0.039595857,-0.041694004
-0.75501597,-0.77234846,-0.38166025,-0.6781523,-0.6496034,-0.6972946,-0.039595857,0.0,-0.039595857,-0.041694004
2.5046983,2.7234073,0.98786855,1.1674085,1.1567279,2.1644084,-0.039595857,0.0,-0.039595857,-0.041694004
-0.4358231,-0.5093829,0.28911117,-0.13491178,1.7956399,-0.31968892,-0.039595857,0.0,-0.039595857,-0.041694004
-0.75384814,-0.761635,-0.4639439,-0.034225687,-0.6535688,-0.6944746,-0.039595857,0.0,-0.039595857,-0.041694004
0.45038614,0.49164075,-0.89185685,-0.3775006,-0.015230397,0.4765467,-0.039595857,0.0,-0.039595857,-0.041694004
-0.07337312,-0.16883443,-0.010343301,0.5153168,-0.08624867,-0.13332398,-0.039595857,0.0,-0.039595857,-0.041694004
-0.66818714,-0.5538568,-0.82616127,-0.6772069,-0.5779928,-0.46430933,-0.039595857,0.0,-0.039595857,-0.041694004
-0.68299615,-0.651387,-0.9847625,-0.36944607,-0.6157532,-0.6299148,-0.039595857,0.0,-0.039595857,-0.041694004
