0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.530618,-0.6070722,0.2081274,-0.6781523,-0.58289397,-0.5473857,-0.039595857,0.0,-0.039595857,-0.041694004
-0.16456576,0.27397805,4.771791,6.5994596,-0.45832512,-0.12729664,-0.039595857,0.0,-0.039595857,-0.041694004
-0.5939503,-0.61791164,-0.10091777,-0.33370867,-0.61055464,-0.48462942,-0.039595857,0.0,-0.039595857,-0.041694004
0.6037158,0.23543867,-0.5887004,0.46061745,-0.23389982,0.35733968,-0.039595857,0.0,-0.039595857,-0.041694004
-0.75990206,-0.7732304,-0.36881852,-0.06291279,-0.6487057,-0.6963106,-0.039595857,0.0,-0.039595857,-0.041694004
2.617407,2.8645835,1.7520193,0.32044604,1.7476418,3.0108147,-0.039595857,0.0,-0.039595857,-0.041694004
-0.45448205,-0.5112819,2.806815,-0.66101164,2.015999,-0.28620127,-0.039595857,0.0,-0.039595857,-0.041694004
-0.752645,-0.75250286,-0.539761,-0.26954454,-0.65266913,-0.69109553,-0.039595857,0.0,-0.039595857,-0.041694004
0.8366946,0.86754876,-0.38768557,-0.6759868,0.03930597,0.5663015,-0.039595857,0.0,-0.039595857,-0.041694004
-0.0074977437,-0.14068154,-0.24455932,1.2539885,-0.017688068,-0.08712685,-0.039595857,0.0,-0.039595857,-0.041694004
-0.67616796,-0.5407416,-0.5383102,-0.26976195,-0.56329113,-0.42123368,-0.039595857,0.0,-0.039595857,-0.041694004
-0.6722926,-0.67269605,-0.86201155,-0.49756572,-0.61269736,-0.62426096,-0.039595857,0.0,-0.039595857,-0.041694004
