0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.52701205,-0.597222,-1.149993,-0.6781523,-0.5712228,-0.5286205,-0.039595857,0.0,-0.039595857,-0.041694004
-0.008013381,0.6052176,1.586602,-0.67809165,-0.42487654,-0.06191877,-0.039595857,0.0,-0.039595857,-0.041694004
-0.5804236,-0.58079946,-0.3314204,-0.32091388,-0.5993491,-0.43870184,-0.039595857,0.0,-0.039595857,-0.041694004
1.0125961,0.44360742,-0.19233225,0.09235778,-0.22466114,0.31141198,-0.039595857,0.0,-0.039595857,-0.041694004
-0.74881935,-0.7446597,-0.90569144,-0.6781523,-0.64659226,-0.69400024,-0.039595857,0.0,-0.039595857,-0.041694004
3.1351578,3.1862297,1.1057252,0.64964026,2.168979,3.4941893,-0.039595857,0.0,-0.039595857,-0.041694004
-0.43926224,-0.51984066,1.9176983,-0.67537344,2.5129552,-0.2124995,-0.039595857,0.0,-0.039595857,-0.041694004
-0.7461719,-0.7493941,-0.48114553,-0.21005936,-0.6500594,-0.68455094,-0.039595857,0.0,-0.039595857,-0.041694004
0.9890737,0.9521624,-0.33697706,-0.48314542,0.15691637,0.72427636,-0.039595857,0.0,-0.039595857,-0.041694004
0.11581066,-0.011770866,0.91145235,2.538144,0.0759259,0.016681079,-0.039595857,0.0,-0.039595857,-0.041694004
-0.68151873,-0.58423424,-0.65400344,-0.6779413,-0.5465947,-0.36948732,-0.039595857,0.0,-0.039595857,-0.041694004
-0.6661378,-0.6376761,-0.4454463,0.8280846,-0.604904,-0.61206216,-0.039595857,0.0,-0.039595857,-0.041694004
