window_ts,source,destination,total_request,new_request,success_count,error_count,success_rate,error_rate,average_latency,p50_latency,p90_latency,p99_latency,istio_request_bytes,throughput,request_rate
2026-03-03 20:14:58+00:00,checkoutservice,cartservice,-0.518481613868167,-0.5855283112027584,-0.5765891810940162,-0.2645502137504491,0.2787012225214284,-0.27870122252142776,-0.3613641060621593,-0.29167403958663707,-0.26420810023954433,-0.438787178540733,-0.3286963473720561,-0.3286973168106896,-0.5877560804879163
2026-03-03 20:14:58+00:00,checkoutservice,currencyservice,-0.5182247617962523,-0.5519850842113238,-0.5430135026476792,-0.2645502137504491,0.2787012225214284,-0.27870122252142776,-0.4563165080770351,-0.46253786417912046,-0.2750826678539229,-0.44191496061915786,-0.32782264227509933,-0.3278236433772536,-0.5527953226279256
2026-03-03 20:14:58+00:00,checkoutservice,emailservice,-0.5186800904691921,-0.614279648623988,-0.6053683340480194,-0.2645502137504491,0.2787012225214284,-0.27870122252142776,-0.45424199432387025,-0.37194289435367633,-0.2689036969101866,-0.44510906755982166,-0.329590010199654,-0.3295905255892778,-0.6132235777279618
2026-03-03 20:14:58+00:00,checkoutservice,paymentservice,-0.5186684153750141,-0.614279648623988,-0.6053683340480194,-0.2645502137504491,0.19732702524767934,-0.19732702524767623,-0.440630498008684,-0.23796136874889345,-0.2621617042117925,-0.44366021045115284,-0.32913541744616126,-0.3291364185714806,-0.6129953743476746
2026-03-03 20:14:58+00:00,checkoutservice,productcatalogservice,-0.5183998882089215,-0.5759445320623485,-0.5669961301093485,-0.2645502137504491,0.2787012225214284,-0.27870122252142776,-0.48567194185789114,-0.4819180191619756,-0.3942629763630174,-0.44717043013115426,-0.3247624569101238,-0.3247619584885424,-0.5768935995862482
2026-03-03 20:14:58+00:00,checkoutservice,shippingservice,-0.5184932889623449,-0.5903202007729633,-0.58138570658635,-0.2645502137504491,0.2787012225214284,-0.27870122252142776,-0.4874199983396531,-0.4821427803947238,-0.39436831026151936,-0.4477743740912513,-0.32878504839712785,-0.3287857855251139,-0.5888058160372371
2026-03-03 20:14:58+00:00,frontend,adservice,-0.5162049705034683,-0.2740554891394372,-0.2648150240923156,-0.2645502137504491,0.2787012225214284,-0.27870122252142776,-0.4678533699801181,-0.4747433204633168,-0.3006105619689533,-0.4445307326565098,-0.3071553034333806,-0.30715427671880424,-0.27580205963538884
2026-03-03 20:14:58+00:00,frontend,cartservice,-0.5146872082603358,-0.06800423762062477,-0.05856442792195986,-0.2645502137504491,0.2787012225214284,-0.27870122252142776,0.8206188498074269,-0.24140198769829113,-0.2536557280872119,2.275948448817778,-0.3144465276942788,-0.31444611356783203,-0.0677262174895698
2026-03-03 20:14:58+00:00,frontend,checkoutservice,-0.5186800904691921,-0.614279648623988,-0.6053683340480194,-0.2645502137504491,0.19598076095454706,-0.1959807609545457,1.1355762501298197,2.18740271196229,1.0245078879346143,-0.1624752299890666,-0.3268890639862191,-0.326889093584465,-0.6134061404321914
2026-03-03 20:14:58+00:00,frontend,currencyservice,-0.5053704831063379,1.2066383880538893,1.2173113530388455,-0.2645502137504491,0.2787012225214284,-0.27870122252142776,-0.4432017838827441,-0.46406006803758804,-0.2707005533971547,-0.4063803677899136,-0.24549478585475076,-0.2454939903643332,1.2079763189916295
